date,xsales,antallordre,produkt,sales,invoiced,refunded,sales tax,sales shipping,sales discount,canceled
2024-02-28, 12 753.00,9,10, 12 753.00, 0.00, 0.00, 2 426.00, 623.00, 0.00,0.0
2024-02-29, 20 205.50,13,29, 20 205.50, 4 697.00, 0.00, 3 916.50, 623.00, 568.50,0.0
2024-03-01, 8 343.10,6,7, 8 343.10, 908.00, 0.00, 1 597.42, 356.00, 229.90,0.0
2024-03-02, 6 782.50,9,13, 6 782.50, 1 996.00, 0.00, 1 235.46, 623.00, 187.50,0.0
2024-03-03, 14 725.65,12,23, 14 725.65, 0.00, 0.00, 2 820.53, 623.00, 628.35,0.0
2024-03-04, 17 941.00,14,24, 17 941.00, 0.00, 0.00, 3 428.00, 801.00, 0.00,0.0
2024-03-05, 18 379.00,14,30, 18 379.00, 1 626.00, 0.00, 3 413.60, 1 311.00, 0.00,0.0
2024-03-06, 12 115.00,10,19, 12 115.00, 747.00, 0.00, 2 316.20, 534.00, 0.00,0.0
2024-03-07, 4 975.00,3,3, 4 975.00, 0.00, 0.00, 959.40, 178.00, 0.00,0.0
2024-03-08, 4 933.20,6,7, 4 933.20, 0.00, 0.00, 899.42, 445.00, 68.80,0.0
2024-03-09, 10 000.88,9,11, 10 000.88, 0.00, 0.00, 1 875.58, 623.00, 335.12,0.0
2024-03-10, 8 919.00,8,15, 8 919.00, 0.00, 0.00, 1 677.00, 534.00, 0.00,0.0
2024-03-11, 11 956.65,8,14, 11 956.65, 0.00, 0.00, 2 320.13, 356.00, 839.35,0.0
2024-03-12, 8 545.15,7,9, 8 545.15, 0.00, 0.00, 1 602.23, 534.00, 359.85,0.0
2024-03-13, 13 908.30,12,22, 13 908.30, 1 088.00, 0.00, 2 603.66, 890.00, 29.70,0.0
2024-03-14, 15 543.70,8,25, 15 543.70, 0.00, 0.00, 3 055.34, 267.00, 568.50,0.0
2024-03-15, 85 650.29,51,124, 85 650.29, 9 031.82, 0.00, 16 758.03, 1 869.00, 3 228.83,0.0
2024-03-16, 8 498.10,5,8, 8 498.10, 0.00, 0.00, 1 664.02, 178.00, 0.00,0.0
2024-03-17, 19 145.16,14,28, 19 145.16, 5 430.90, 0.00, 3 688.41, 712.00, 94.54,0.0
2024-03-18, 9 849.50,8,13, 9 849.50, 802.90, 0.00, 1 845.30, 623.00, 0.00,0.0
2024-03-19, 25 972.70,19,40, 25 972.70, 3 075.00, 0.00, 4 980.94, 1 068.00, 924.30,0.0
2024-03-20, 28 656.35,18,34, 28 656.35, 1 957.00, 0.00, 5 588.87, 712.00, 778.15,0.0
2024-03-21, 3 778.80,5,8, 3 778.80, 0.00, 0.00, 684.56, 356.00, 49.20,0.0
2024-03-22, 18 121.05,12,32, 18 121.05, 4 399.10, 0.00, 3 535.21, 445.00, 626.95,0.0
2024-03-23, 11 046.00,5,12, 11 046.00, 0.00, 0.00, 2 173.60, 178.00, 0.00,0.0
2024-03-24, 14 067.00,10,14, 14 067.00, 3 875.00, 0.00, 2 551.20, 1 311.00, 0.00,0.0
2024-03-25, 18 095.10,10,21, 18 095.10, 0.00, 0.00, 3 547.82, 356.00, 339.90,0.0
2024-03-26, 15 914.10,11,11, 15 914.10, 1 037.00, 838.00, 3 040.02, 714.00, 418.90,0.0
2024-03-27, 4 873.20,6,11, 4 873.20, 2 474.00, 2 474.00, 785.42, 955.00, 90.80,0.0
2024-03-28, 9 136.00,5,12, 9 136.00, 0.00, 0.00, 1 791.60, 178.00, 0.00,0.0
2024-03-29, 11 405.00,8,10, 11 405.00, 1 388.00, 0.00, 2 192.00, 445.00, 0.00,0.0
2024-03-30, 1 276.00,2,2, 1 276.00, 0.00, 0.00, 219.60, 178.00, 0.00,0.0
2024-03-31, 7 038.00,6,7, 7 038.00, 3 087.00, 0.00, 1 318.60, 445.00, 0.00,0.0
2024-04-01, 6 093.00,4,5, 6 093.00, 1 699.00, 0.00, 1 183.00, 178.00, 0.00,0.0
2024-04-02, 8 629.20,6,8, 8 629.20, 0.00, 0.00, 1 656.42, 356.00, 38.80,0.0
2024-04-03, 10 706.65,10,11, 10 706.65, 1 388.00, 0.00, 1 963.33, 890.00, 172.35,0.0
2024-04-04, 12 902.00,10,20, 12 902.00, 838.00, 0.00, 2 438.00, 712.00, 0.00,0.0
2024-04-05, 8 619.00,6,8, 8 619.00, 1 399.00, 0.00, 1 670.40, 267.00, 0.00,0.0
2024-04-06, 8 956.00,6,12, 8 956.00, 0.00, 0.00, 1 755.60, 178.00, 0.00,0.0
2024-04-07, 9 565.00,6,12, 9 565.00, 0.00, 0.00, 1 859.60, 267.00, 0.00,0.0
2024-04-08, 20 404.00,15,24, 20 404.00, 2 199.00, 0.00, 3 867.20, 1 068.00, 0.00,0.0
2024-04-09, 11 104.00,11,16, 11 104.00, 4 662.00, 0.00, 1 940.80, 1 400.00, 0.00,0.0
2024-04-10, 12 516.65,13,23, 12 516.65, 1 236.00, 0.00, 2 360.93, 712.00, 112.35,0.0
2024-04-11, 3 860.00,5,5, 3 860.00, 0.00, 0.00, 683.00, 445.00, 0.00,0.0
2024-04-12, 13 509.00,13,20, 13 509.00, 1 038.00, 0.00, 2 506.00, 979.00, 0.00,0.0
2024-04-13, 4 455.00,6,9, 4 455.00, 0.00, 0.00, 784.20, 534.00, 0.00,0.0
2024-04-14, 6 228.00,6,7, 6 228.00, 0.00, 0.00, 1 156.60, 445.00, 0.00,0.0
2024-04-15, 20 539.80,18,31, 20 539.80, 3 390.00, 897.00, 3 894.36, 1 068.00, 187.20,0.0
2024-04-16, 9 718.00,10,13, 9 718.00, 3 405.00, 2 567.00, 1 783.40, 801.00, 0.00,0.0
2024-04-17, 13 594.20,10,19, 13 594.20, 0.00, 0.00, 2 578.22, 712.00, 118.80,0.0
2024-04-18, 18 459.10,13,34, 18 459.10, 4 474.00, 2 237.00, 3 327.62, 1 821.00, 867.90,0.0
2024-04-19, 16 191.00,14,19, 16 191.00, 3 645.00, 0.00, 3 060.20, 890.00, 0.00,0.0
2024-04-20, 16 501.00,12,21, 16 501.00, 1 798.00, 0.00, 3 157.80, 712.00, 0.00,0.0
2024-04-21, 6 830.00,9,11, 6 830.00, 988.00, 0.00, 1 205.80, 801.00, 0.00,0.0
2024-04-22, 14 800.00,14,19, 14 800.00, 1 188.00, 0.00, 2 764.20, 979.00, 0.00,0.0
2024-04-23, 7 464.00,8,9, 7 464.00, 988.00, 988.00, 1 368.20, 623.00, 0.00,0.0
2024-04-24, 10 019.45,12,21, 10 019.45, 3 154.00, 1 099.00, 1 879.29, 623.00, 242.55,0.0
2024-04-25, 4 771.50,3,8, 4 771.50, 436.50, 0.00, 920.48, 178.00, 48.50,0.0
2024-04-26, 26 861.00,3,69, 26 861.00, 22 264.00, 0.00, 5 372.20, 0.00, 0.00,0.0
2024-04-27, 4 891.85,5,7, 4 891.85, 1 708.20, 0.00, 907.17, 356.00, 287.15,0.0
2024-04-28, 11 192.20,12,21, 11 192.20, 3 983.00, 0.00, 2 097.82, 712.00, 28.80,0.0
2024-04-29, 13 000.65,7,18, 13 000.65, 4 535.00, 0.00, 2 546.73, 267.00, 898.35,0.0
2024-04-30, 7 038.00,6,7, 7 038.00, 0.00, 0.00, 1 318.60, 445.00, 0.00,0.0
